Animal_ID,Found_Address
A730601,1109 Shady Ln in Austin (TX)
A683644,Austin (TX)
A676515,615 E. Wonsley in Austin (TX)
A742953,S Hwy 183 And Thompson Lane in Austin (TX)
A679549,124 W Anderson in Austin (TX)
A683798,3118 Windsor Rd in Austin (TX)
A683798,3118 Windsor Rd in Austin (TX)
A683798,Austin (TX)
A683798,Austin (TX)
A683656,8238 Research Blvd in Austin (TX)
A709749,4800 Weletka Dr in Austin (TX)
A692161,Avenue G/42Nd in Austin (TX)
A733551,183 And Cameron in Austin (TX)
A732960,6808 S Ih 35 Frontage Rd in Austin (TX)
A720597,8413 Danville Dr in Austin (TX)
A671219,11602 Gunsmoke Circle in Austin (TX)
A695601,2940 Eckert St in Austin (TX)
A711377,Los Arbolos Neighborhood in Austin (TX)
A664571,Austin (TX)
A727402,Mopac & W Slaughter Ln in Austin (TX)
A715806,1506 Thorneridge Road in Austin (TX)
A724944,Austin (TX)
A714255,1830 W Rundberg Ln in Austin (TX)
A671448,Austin (TX)
A729190,Johnny Morris in Austin (TX)
A673275,9308 N Lamar in Austin (TX)
A742653,Bratton Ln in Austin (TX)
A737776,Patricia St And Pamela St in Austin (TX)
A683041,1128 Spur in Austin (TX)
A678576,Ih 35 And Riverside Dr in Austin (TX)
A656923,12505 Rampart St in Austin (TX)
A743830,4502 Hudson Bend Rd in Travis (TX)
A689363,Austin (TX)
A733763,609 W Lynn St #1 in Austin (TX)
A703167,704 Hyde Park Ct in Austin (TX)
A677624,13096 N 183 in Austin (TX)
A738112,701 W Longspur in Austin (TX)
A663489,Garland Ave in Austin (TX)
A663489,Garland Ave in Austin (TX)
A663489,4106 N Lamar Blvd in Austin (TX)
A663489,4106 N Lamar Blvd in Austin (TX)
A714680,Austin (TX)
A667415,2203 Singletree Ave in Austin (TX)
A699075,E 9Th And San Saba in Austin (TX)
A667225,11417 Trails End in Travis (TX)
A722486,Crownspoint Dr & Mosswood Cir in Austin (TX)
A666823,7607 Glen Hill Cove in Austin (TX)
A642379,2202 Galway St in Austin (TX)
A574488,Austin (TX)
A678300,12034 Research in Austin (TX)
A701712,Austin (TX)
A696008,120 Webberwood Way in Travis (TX)
A696008,120 Webberwood Way in Travis (TX)
A696008,Austin (TX)
A696008,Austin (TX)
A624026,Austin (TX)
A675525,Austin (TX)
A687105,Austin (TX)
A687105,Austin (TX)
A687105,Payton Gin Rd And Colonial Dr in Austin (TX)
A687105,Payton Gin Rd And Colonial Dr in Austin (TX)
A707129,5446 Walnut Grove in Austin (TX)
A707129,5446 Walnut Grove in Austin (TX)
A707129,7417 N Ih 35 in Austin (TX)
A707129,7417 N Ih 35 in Austin (TX)
A676984,W 34Th And Mills in Austin (TX)
A700065,7201 Levander Loop in Austin (TX)
A666200,11351 Bradshaw Rd in Austin (TX)
A728539,10300 Doyle Rd in Del Valle (TX)
A736590,Austin (TX)
A736590,Austin (TX)
A736590,11709 Garden Grove in Austin (TX)
A736590,11709 Garden Grove in Austin (TX)
A686070,9300 Northgate Blvd in Austin (TX)
A673974,14904 Valerian in Travis (TX)
A711236,Matthews in Austin (TX)
A709826,Austin (TX)
A630325,West Dittmar And Palace Pkwy in Austin (TX)
A693699,1603 Cricket Hollow Drive in Austin (TX)
A733589,10714 San Jose in Travis (TX)
A726812,900 Chicon St in Austin (TX)
A711165,Ledesma Rd And Springdale Rd in Austin (TX)
A711165,Ledesma Rd And Springdale Rd in Austin (TX)
A711165,Ledesma Rd And Springdale Rd in Austin (TX)
A711165,Manor And Berkman in Austin (TX)
A711165,Manor And Berkman in Austin (TX)
A711165,Manor And Berkman in Austin (TX)
A711165,0000 Springdale Rd in Austin (TX)
A711165,0000 Springdale Rd in Austin (TX)
A711165,0000 Springdale Rd in Austin (TX)
A687804,7100 Northeast Dr in Austin (TX)
A673556,Manchaca & Slaughter Lane in Austin (TX)
A722593,Austin (TX)
A694644,10223 Thaxton in Austin (TX)
A690661,7112 Hillcroft Dr in Austin (TX)
A732760,1704 Citation Dr in Austin (TX)
A700460,Austin (TX)
A737338,5200 Ravensdale in Austin (TX)
A737666,9101 Sweet Gum Dr in Austin (TX)
A744224,9920 Qual Blvd in Austin (TX)
A692589,1310 Delano St in Austin (TX)
A706067,5702 Richmond Ave in Austin (TX)
A664519,9611 Decker Lake Rd in Travis (TX)
A667606,6806 Thistle Hill Way in Travis (TX)
A695308,Magna Carta Loop And Breeds Hill in Austin (TX)
A667358,Travis (TX)
A710491,5338 Thunder Creek in Austin (TX)
A684554,Spruce Gum And Deer Run in Austin (TX)
A726861,Austin (TX)
A728524,13424 Clara Martin in Travis (TX)
A709866,Austin (TX)
A711491,973 & 183 in Travis (TX)
A712594,124 W Anderson Ln in Austin (TX)
A715799,2510 Lehigh Dr in Austin (TX)
A612598,Austin (TX)
A719347,13676 Bee Cave Pkwy in Bee Cave (TX)
A725050,3101 Yellowpine Ter in Austin (TX)
A719723,Circulo De Amistad And Montopolis in Austin (TX)
A693250,W 22Nd St & Leon St in Austin (TX)
A687935,7132 Texas 71 in Austin (TX)
A676635,Austin (TX)
A682797,1904 Poquito in Austin (TX)
A274546,Manchaca And Slaughter in Austin (TX)
A735393,12304 Willow Wild Dr in Austin (TX)
A683741,Machaca & Falcon Hill in Austin (TX)
A717560,Austin (TX)
A717560,Austin (TX)
A717560,7976 Research Blvd in Austin (TX)
A717560,7976 Research Blvd in Austin (TX)
A681180,Delano St And Fort Branch in Austin (TX)
A681180,Delano St And Fort Branch in Austin (TX)
A681180,Travis (TX)
A681180,Travis (TX)
A735494,1109 S Pleasant Valley in Austin (TX)
A667916,Burnet Rd/Anderson Ln in Austin (TX)
A684751,1301 Spyglass Drive in Austin (TX)
A691312,Austin (TX)
A740410,Austin (TX)
A731849,S Congress Ave And W Stassney Ln in Austin (TX)
A730523,4601 Tuckerhill Lane in Travis (TX)
A737520,7201 Levander Loop in Austin (TX)
A738363,3300 Killingsworth in Travis (TX)
A703120,7904 Fm 969 in Austin (TX)
A687319,Austin (TX)
A701980,911 Battle Bend Blvd in Austin (TX)
A672352,Roxanna Dr And Crownspoint Dr in Austin (TX)
A670197,6700 Meadow Lake in Austin (TX)
A697418,W Cesar Chavez And Mopac in Austin (TX)
A707006,11113 Research Blvd in Austin (TX)
A691211,Austin (TX)
A685766,4215 Caldwell Ln in Del Valle (TX)
A679750,14311 Wells Port in Austin (TX)
A679750,14311 Wells Port in Austin (TX)
A679750,14311 Wells Port in Austin (TX)
A679750,1779 Wells Branch Parkway in Austin (TX)
A679750,1779 Wells Branch Parkway in Austin (TX)
A679750,1779 Wells Branch Parkway in Austin (TX)
A679750,Austin (TX)
