Species_Name,Breed_Name
Cat,Domestic Shorthair Mix
Dog,Border Collie Mix
Dog,Pit Bull Mix
Dog,Saluki
Cat,Domestic Shorthair Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Medium Hair Mix
Cat,Snowshoe Mix
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Cat,Siamese Mix
Other,Opossum Mix
Dog,Anatol Shepherd Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Boxer/Labrador Retriever
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Pekingese Mix
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Dog,Yorkshire Terrier Mix
Dog,Yorkshire Terrier Mix
Cat,Domestic Shorthair Mix
Dog,Miniature Pinscher
Dog,Labrador Retriever Mix
Dog,Queensland Heeler Mix
Dog,Bruss Griffon Mix
Other,Raccoon Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Labrador Retriever Mix
Dog,Chihuahua Shorthair/Rat Terrier
Dog,Chihuahua Shorthair/Rat Terrier
Dog,Chihuahua Shorthair/Rat Terrier
Dog,Chihuahua Shorthair/Rat Terrier
Other,Hamster Mix
Dog,Maltese/Miniature Poodle
Cat,Domestic Shorthair Mix
Dog,Siberian Husky Mix
Other,Opossum Mix
Dog,German Shepherd Mix
Dog,Rottweiler Mix
Dog,Labrador Retriever Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Australian Cattle Dog/German Shepherd
Dog,Australian Cattle Dog/German Shepherd
Dog,Australian Cattle Dog/German Shepherd
Dog,Australian Cattle Dog/German Shepherd
Dog,Vizsla/Catahoula
Cat,Angora Mix
Cat,Siamese Mix
Cat,Siamese Mix
Cat,Siamese Mix
Cat,Siamese Mix
Dog,Smooth Fox Terrier Mix
Dog,Smooth Fox Terrier Mix
Dog,Smooth Fox Terrier Mix
Dog,Smooth Fox Terrier Mix
Cat,Domestic Longhair Mix
Cat,Domestic Medium Hair Mix
Cat,Siamese Mix
Cat,Domestic Shorthair Mix
Dog,Jack Russell Terrier Mix
Dog,Jack Russell Terrier Mix
Dog,Jack Russell Terrier Mix
Dog,Jack Russell Terrier Mix
Cat,Domestic Shorthair Mix
Dog,Chihuahua Longhair/Jack Russell Terrier
Dog,Labrador Retriever Mix
Dog,Cairn Terrier/Chihuahua Shorthair
Dog,Bull Terrier Mix
Dog,Pit Bull Mix
Dog,Australian Cattle Dog Mix
Cat,Domestic Shorthair Mix
